TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,2/6/2021,4:00,4:14,0.6,kWh,
Electric usage,2/6/2021,4:15,4:29,0.26,kWh,
Electric usage,2/6/2021,4:30,4:44,0.69,kWh,
Electric usage,2/6/2021,4:45,4:59,0.29,kWh,
Electric usage,2/6/2021,5:00,5:14,0.27,kWh,
Electric usage,2/6/2021,5:15,5:29,0.32,kWh,
Electric usage,2/6/2021,5:30,5:44,0.56,kWh,
Electric usage,2/6/2021,5:45,5:59,0.27,kWh,
Electric usage,2/6/2021,6:00,6:14,0.27,kWh,
Electric usage,2/6/2021,6:15,6:29,0.26,kWh,
Electric usage,2/6/2021,6:30,6:44,0.75,kWh,
Electric usage,2/6/2021,6:45,6:59,0.52,kWh,
Electric usage,2/6/2021,7:00,7:14,0.51,kWh,
Electric usage,2/6/2021,7:15,7:29,0.52,kWh,
Electric usage,2/6/2021,7:30,7:44,0.51,kWh,
Electric usage,2/6/2021,7:45,7:59,0.77,kWh,
Electric usage,2/6/2021,8:00,8:14,0.52,kWh,
Electric usage,2/6/2021,8:15,8:29,0.5,kWh,
Electric usage,2/6/2021,8:30,8:44,0.51,kWh,
Electric usage,2/6/2021,8:45,8:59,0.52,kWh,
Electric usage,2/6/2021,9:00,9:14,0.51,kWh,
Electric usage,2/6/2021,9:15,9:29,0.66,kWh,
Electric usage,2/6/2021,9:30,9:44,0.45,kWh,
Electric usage,2/6/2021,9:45,9:59,0.26,kWh,
Electric usage,2/6/2021,10:00,10:14,0.27,kWh,
Electric usage,2/6/2021,10:15,10:29,0.27,kWh,
Electric usage,2/6/2021,10:30,10:44,0.26,kWh,
Electric usage,2/6/2021,10:45,10:59,0.27,kWh,
Electric usage,2/6/2021,11:00,11:14,0.27,kWh,
Electric usage,2/6/2021,11:15,11:29,0.27,kWh,
Electric usage,2/6/2021,11:30,11:44,0.68,kWh,
Electric usage,2/6/2021,11:45,11:59,0.61,kWh,
Electric usage,2/6/2021,12:00,12:14,0.6,kWh,
Electric usage,2/6/2021,12:15,12:29,0.7,kWh,
Electric usage,2/6/2021,12:30,12:44,0.81,kWh,
Electric usage,2/6/2021,12:45,12:59,0.6,kWh,
Electric usage,2/6/2021,13:00,13:14,0.91,kWh,
Electric usage,2/6/2021,13:15,13:29,0.56,kWh,
Electric usage,2/6/2021,13:30,13:44,0.57,kWh,
Electric usage,2/6/2021,13:45,13:59,0.57,kWh,
Electric usage,2/6/2021,14:00,14:14,0.56,kWh,
Electric usage,2/6/2021,14:15,14:29,0.84,kWh,
Electric usage,2/6/2021,14:30,14:44,0.56,kWh,
Electric usage,2/6/2021,14:45,14:59,0.32,kWh,
Electric usage,2/6/2021,15:00,15:14,0.32,kWh,
Electric usage,2/6/2021,15:15,15:29,0.58,kWh,
Electric usage,2/6/2021,15:30,15:44,0.36,kWh,
Electric usage,2/6/2021,15:45,15:59,0.32,kWh,
Electric usage,2/6/2021,16:00,16:14,0.3,kWh,
Electric usage,2/6/2021,16:15,16:29,0.31,kWh,
Electric usage,2/6/2021,16:30,16:44,0.33,kWh,
Electric usage,2/6/2021,16:45,16:59,0.62,kWh,
Electric usage,2/6/2021,17:00,17:14,0.35,kWh,
Electric usage,2/6/2021,17:15,17:29,0.35,kWh,
Electric usage,2/6/2021,17:30,17:44,0.49,kWh,
Electric usage,2/6/2021,17:45,17:59,0.59,kWh,
Electric usage,2/6/2021,18:00,18:14,0.9,kWh,
Electric usage,2/6/2021,18:15,18:29,0.6,kWh,
Electric usage,2/6/2021,18:30,18:44,0.59,kWh,
Electric usage,2/6/2021,18:45,18:59,0.6,kWh,
Electric usage,2/6/2021,19:00,19:14,0.58,kWh,
Electric usage,2/6/2021,19:15,19:29,0.62,kWh,
Electric usage,2/6/2021,19:30,19:44,0.75,kWh,
Electric usage,2/6/2021,19:45,19:59,0.78,kWh,
Electric usage,2/6/2021,20:00,20:14,0.51,kWh,
Electric usage,2/6/2021,20:15,20:29,0.35,kWh,
Electric usage,2/6/2021,20:30,20:44,0.38,kWh,
Electric usage,2/6/2021,20:45,20:59,0.38,kWh,
Electric usage,2/6/2021,21:00,21:14,0.35,kWh,
Electric usage,2/6/2021,21:15,21:29,0.36,kWh,
Electric usage,2/6/2021,21:30,21:44,0.57,kWh,
Electric usage,2/6/2021,21:45,21:59,0.28,kWh,
Electric usage,2/6/2021,22:00,22:14,0.28,kWh,
Electric usage,2/6/2021,22:15,22:29,0.27,kWh,
Electric usage,2/6/2021,22:30,22:44,0.3,kWh,
Electric usage,2/6/2021,22:45,22:59,0.33,kWh,
Electric usage,2/6/2021,23:00,23:14,0.59,kWh,
Electric usage,2/6/2021,23:15,23:29,1.42,kWh,
Electric usage,2/6/2021,23:30,23:44,0.89,kWh,
Electric usage,2/6/2021,23:45,23:59,0.97,kWh,
Electric usage,2/7/2021,0:00,0:14,0.77,kWh,
Electric usage,2/7/2021,0:15,0:29,0.79,kWh,
Electric usage,2/7/2021,0:30,0:44,0.89,kWh,
Electric usage,2/7/2021,0:45,0:59,0.78,kWh,
Electric usage,2/7/2021,1:00,1:14,0.61,kWh,
Electric usage,2/7/2021,1:15,1:29,0.97,kWh,
Electric usage,2/7/2021,1:30,1:44,0.62,kWh,
Electric usage,2/7/2021,1:45,1:59,0.44,kWh,
Electric usage,2/7/2021,2:00,2:14,0.59,kWh,
Electric usage,2/7/2021,2:15,2:29,0.27,kWh,
Electric usage,2/7/2021,2:30,2:44,0.28,kWh,
Electric usage,2/7/2021,2:45,2:59,0.26,kWh,
Electric usage,2/7/2021,3:00,3:14,0.56,kWh,
Electric usage,2/7/2021,3:15,3:29,0.26,kWh,
Electric usage,2/7/2021,3:30,3:44,0.26,kWh,
Electric usage,2/7/2021,3:45,3:59,0.27,kWh,
Electric usage,2/7/2021,4:00,4:14,0.33,kWh,
Electric usage,2/7/2021,4:15,4:29,0.51,kWh,
Electric usage,2/7/2021,4:30,4:44,0.3,kWh,
Electric usage,2/7/2021,4:45,4:59,0.38,kWh,
Electric usage,2/7/2021,5:00,5:14,0.85,kWh,
Electric usage,2/7/2021,5:15,5:29,0.28,kWh,
Electric usage,2/7/2021,5:30,5:44,0.25,kWh,
Electric usage,2/7/2021,5:45,5:59,0.28,kWh,
Electric usage,2/7/2021,6:00,6:14,0.26,kWh,
Electric usage,2/7/2021,6:15,6:29,0.47,kWh,
Electric usage,2/7/2021,6:30,6:44,1.04,kWh,
Electric usage,2/7/2021,6:45,6:59,0.91,kWh,
Electric usage,2/7/2021,7:00,7:14,0.51,kWh,
Electric usage,2/7/2021,7:15,7:29,0.5,kWh,
Electric usage,2/7/2021,7:30,7:44,0.52,kWh,
Electric usage,2/7/2021,7:45,7:59,0.5,kWh,
Electric usage,2/7/2021,8:00,8:14,0.52,kWh,
Electric usage,2/7/2021,8:15,8:29,0.51,kWh,
Electric usage,2/7/2021,8:30,8:44,0.34,kWh,
Electric usage,2/7/2021,8:45,8:59,0.98,kWh,
Electric usage,2/7/2021,9:00,9:14,0.26,kWh,
Electric usage,2/7/2021,9:15,9:29,0.27,kWh,
Electric usage,2/7/2021,9:30,9:44,0.93,kWh,
Electric usage,2/7/2021,9:45,9:59,0.38,kWh,
Electric usage,2/7/2021,10:00,10:14,0.53,kWh,
Electric usage,2/7/2021,10:15,10:29,0.51,kWh,
Electric usage,2/7/2021,10:30,10:44,0.52,kWh,
Electric usage,2/7/2021,10:45,10:59,0.51,kWh,
Electric usage,2/7/2021,11:00,11:14,0.52,kWh,
Electric usage,2/7/2021,11:15,11:29,0.5,kWh,
Electric usage,2/7/2021,11:30,11:44,0.85,kWh,
Electric usage,2/7/2021,11:45,11:59,0.51,kWh,
Electric usage,2/7/2021,12:00,12:14,0.59,kWh,
Electric usage,2/7/2021,12:15,12:29,0.5,kWh,
Electric usage,2/7/2021,12:30,12:44,0.53,kWh,
Electric usage,2/7/2021,12:45,12:59,0.61,kWh,
Electric usage,2/7/2021,13:00,13:14,0.75,kWh,
Electric usage,2/7/2021,13:15,13:29,0.53,kWh,
Electric usage,2/7/2021,13:30,13:44,0.51,kWh,
Electric usage,2/7/2021,13:45,13:59,0.52,kWh,
Electric usage,2/7/2021,14:00,14:14,0.52,kWh,
Electric usage,2/7/2021,14:15,14:29,0.7,kWh,
Electric usage,2/7/2021,14:30,14:44,0.64,kWh,
Electric usage,2/7/2021,14:45,14:59,0.51,kWh,
Electric usage,2/7/2021,15:00,15:14,0.51,kWh,
Electric usage,2/7/2021,15:15,15:29,0.52,kWh,
Electric usage,2/7/2021,15:30,15:44,0.5,kWh,
Electric usage,2/7/2021,15:45,15:59,0.52,kWh,
Electric usage,2/7/2021,16:00,16:14,0.51,kWh,
Electric usage,2/7/2021,16:15,16:29,0.74,kWh,
Electric usage,2/7/2021,16:30,16:44,0.62,kWh,
Electric usage,2/7/2021,16:45,16:59,0.5,kWh,
Electric usage,2/7/2021,17:00,17:14,0.59,kWh,
Electric usage,2/7/2021,17:15,17:29,0.4,kWh,
Electric usage,2/7/2021,17:30,17:44,0.3,kWh,
Electric usage,2/7/2021,17:45,17:59,0.28,kWh,
Electric usage,2/7/2021,18:00,18:14,0.3,kWh,
Electric usage,2/7/2021,18:15,18:29,0.56,kWh,
Electric usage,2/7/2021,18:30,18:44,0.34,kWh,
Electric usage,2/7/2021,18:45,18:59,1.09,kWh,
Electric usage,2/7/2021,19:00,19:14,0.53,kWh,
Electric usage,2/7/2021,19:15,19:29,0.55,kWh,
Electric usage,2/7/2021,19:30,19:44,0.53,kWh,
Electric usage,2/7/2021,19:45,19:59,0.54,kWh,
Electric usage,2/7/2021,20:00,20:14,0.6,kWh,
Electric usage,2/7/2021,20:15,20:29,0.53,kWh,
Electric usage,2/7/2021,20:30,20:44,0.89,kWh,
Electric usage,2/7/2021,20:45,20:59,0.56,kWh,
Electric usage,2/7/2021,21:00,21:14,0.65,kWh,
Electric usage,2/7/2021,21:15,21:29,1.84,kWh,
Electric usage,2/7/2021,21:30,21:44,0.9,kWh,
Electric usage,2/7/2021,21:45,21:59,1.41,kWh,
Electric usage,2/7/2021,22:00,22:14,1.12,kWh,
Electric usage,2/7/2021,22:15,22:29,0.6,kWh,
Electric usage,2/7/2021,22:30,22:44,1.12,kWh,
Electric usage,2/7/2021,22:45,22:59,0.58,kWh,
Electric usage,2/7/2021,23:00,23:14,0.6,kWh,
Electric usage,2/7/2021,23:15,23:29,0.98,kWh,
Electric usage,2/7/2021,23:30,23:44,0.59,kWh,
Electric usage,2/7/2021,23:45,23:59,0.6,kWh,
Electric usage,2/8/2021,0:00,0:14,0.83,kWh,
Electric usage,2/8/2021,0:15,0:29,0.65,kWh,
Electric usage,2/8/2021,0:30,0:44,0.57,kWh,
Electric usage,2/8/2021,0:45,0:59,0.56,kWh,
Electric usage,2/8/2021,1:00,1:14,0.89,kWh,
Electric usage,2/8/2021,1:15,1:29,0.58,kWh,
Electric usage,2/8/2021,1:30,1:44,0.59,kWh,
Electric usage,2/8/2021,1:45,1:59,0.89,kWh,
Electric usage,2/8/2021,2:00,2:14,0.56,kWh,
Electric usage,2/8/2021,2:15,2:29,0.5,kWh,
Electric usage,2/8/2021,2:30,2:44,0.76,kWh,
Electric usage,2/8/2021,2:45,2:59,0.55,kWh,
Electric usage,2/8/2021,3:00,3:14,0.52,kWh,
Electric usage,2/8/2021,3:15,3:29,0.51,kWh,
Electric usage,2/8/2021,3:30,3:44,0.51,kWh,
Electric usage,2/8/2021,3:45,3:59,0.8,kWh,
Electric usage,2/8/2021,4:00,4:14,0.57,kWh,
Electric usage,2/8/2021,4:15,4:29,0.79,kWh,
Electric usage,2/8/2021,4:30,4:44,0.73,kWh,
Electric usage,2/8/2021,4:45,4:59,0.53,kWh,
Electric usage,2/8/2021,5:00,5:14,0.49,kWh,
Electric usage,2/8/2021,5:15,5:29,0.52,kWh,
Electric usage,2/8/2021,5:30,5:44,0.79,kWh,
Electric usage,2/8/2021,5:45,5:59,0.51,kWh,
Electric usage,2/8/2021,6:00,6:14,0.84,kWh,
Electric usage,2/8/2021,6:15,6:29,0.7,kWh,
Electric usage,2/8/2021,6:30,6:44,0.51,kWh,
Electric usage,2/8/2021,6:45,6:59,0.49,kWh,
Electric usage,2/8/2021,7:00,7:14,0.52,kWh,
Electric usage,2/8/2021,7:15,7:29,0.5,kWh,
Electric usage,2/8/2021,7:30,7:44,1.26,kWh,
Electric usage,2/8/2021,7:45,7:59,0.57,kWh,
Electric usage,2/8/2021,8:00,8:14,0.49,kWh,
Electric usage,2/8/2021,8:15,8:29,0.51,kWh,
Electric usage,2/8/2021,8:30,8:44,0.53,kWh,
Electric usage,2/8/2021,8:45,8:59,0.88,kWh,
Electric usage,2/8/2021,9:00,9:14,0.51,kWh,
Electric usage,2/8/2021,9:15,9:29,0.83,kWh,
Electric usage,2/8/2021,9:30,9:44,0.52,kWh,
Electric usage,2/8/2021,9:45,9:59,1.08,kWh,
Electric usage,2/8/2021,10:00,10:14,0.68,kWh,
Electric usage,2/8/2021,10:15,10:29,0.51,kWh,
Electric usage,2/8/2021,10:30,10:44,0.82,kWh,
Electric usage,2/8/2021,10:45,10:59,0.51,kWh,
Electric usage,2/8/2021,11:00,11:14,0.49,kWh,
Electric usage,2/8/2021,11:15,11:29,0.51,kWh,
Electric usage,2/8/2021,11:30,11:44,0.5,kWh,
Electric usage,2/8/2021,11:45,11:59,0.5,kWh,
Electric usage,2/8/2021,12:00,12:14,0.88,kWh,
Electric usage,2/8/2021,12:15,12:29,0.49,kWh,
Electric usage,2/8/2021,12:30,12:44,1.19,kWh,
Electric usage,2/8/2021,12:45,12:59,0.52,kWh,
Electric usage,2/8/2021,13:00,13:14,0.5,kWh,
Electric usage,2/8/2021,13:15,13:29,0.52,kWh,
Electric usage,2/8/2021,13:30,13:44,0.5,kWh,
Electric usage,2/8/2021,13:45,13:59,0.51,kWh,
Electric usage,2/8/2021,14:00,14:14,0.85,kWh,
Electric usage,2/8/2021,14:15,14:29,0.51,kWh,
Electric usage,2/8/2021,14:30,14:44,0.52,kWh,
Electric usage,2/8/2021,14:45,14:59,0.5,kWh,
Electric usage,2/8/2021,15:00,15:14,0.51,kWh,
Electric usage,2/8/2021,15:15,15:29,0.5,kWh,
Electric usage,2/8/2021,15:30,15:44,0.51,kWh,
Electric usage,2/8/2021,15:45,15:59,0.5,kWh,
Electric usage,2/8/2021,16:00,16:14,0.81,kWh,
Electric usage,2/8/2021,16:15,16:29,0.51,kWh,
Electric usage,2/8/2021,16:30,16:44,0.74,kWh,
Electric usage,2/8/2021,16:45,16:59,0.64,kWh,
Electric usage,2/8/2021,17:00,17:14,0.53,kWh,
Electric usage,2/8/2021,17:15,17:29,0.54,kWh,
Electric usage,2/8/2021,17:30,17:44,0.54,kWh,
Electric usage,2/8/2021,17:45,17:59,0.88,kWh,
Electric usage,2/8/2021,18:00,18:14,1.04,kWh,
Electric usage,2/8/2021,18:15,18:29,1.63,kWh,
Electric usage,2/8/2021,18:30,18:44,1.65,kWh,
Electric usage,2/8/2021,18:45,18:59,1.66,kWh,
Electric usage,2/8/2021,19:00,19:14,1.73,kWh,
Electric usage,2/8/2021,19:15,19:29,0.98,kWh,
Electric usage,2/8/2021,19:30,19:44,0.54,kWh,
Electric usage,2/8/2021,19:45,19:59,1.13,kWh,
Electric usage,2/8/2021,20:00,20:14,0.6,kWh,
Electric usage,2/8/2021,20:15,20:29,0.75,kWh,
Electric usage,2/8/2021,20:30,20:44,0.94,kWh,
Electric usage,2/8/2021,20:45,20:59,0.71,kWh,
Electric usage,2/8/2021,21:00,21:14,0.67,kWh,
Electric usage,2/8/2021,21:15,21:29,0.46,kWh,
Electric usage,2/8/2021,21:30,21:44,0.53,kWh,
Electric usage,2/8/2021,21:45,21:59,0.58,kWh,
Electric usage,2/8/2021,22:00,22:14,1.05,kWh,
Electric usage,2/8/2021,22:15,22:29,0.91,kWh,
Electric usage,2/8/2021,22:30,22:44,0.57,kWh,
Electric usage,2/8/2021,22:45,22:59,1.32,kWh,
Electric usage,2/8/2021,23:00,23:14,0.75,kWh,
Electric usage,2/8/2021,23:15,23:29,0.83,kWh,
Electric usage,2/8/2021,23:30,23:44,0.89,kWh,
Electric usage,2/8/2021,23:45,23:59,0.59,kWh,
Electric usage,2/9/2021,0:00,0:14,0.99,kWh,
Electric usage,2/9/2021,0:15,0:29,0.6,kWh,
Electric usage,2/9/2021,0:30,0:44,0.59,kWh,
Electric usage,2/9/2021,0:45,0:59,0.92,kWh,
Electric usage,2/9/2021,1:00,1:14,0.59,kWh,
Electric usage,2/9/2021,1:15,1:29,0.58,kWh,
Electric usage,2/9/2021,1:30,1:44,0.6,kWh,
Electric usage,2/9/2021,1:45,1:59,0.86,kWh,
Electric usage,2/9/2021,2:00,2:14,0.51,kWh,
Electric usage,2/9/2021,2:15,2:29,0.52,kWh,
Electric usage,2/9/2021,2:30,2:44,0.6,kWh,
Electric usage,2/9/2021,2:45,2:59,0.7,kWh,
Electric usage,2/9/2021,3:00,3:14,0.52,kWh,
Electric usage,2/9/2021,3:15,3:29,0.39,kWh,
Electric usage,2/9/2021,3:30,3:44,0.26,kWh,
Electric usage,2/9/2021,3:45,3:59,0.27,kWh,
Electric usage,2/9/2021,4:00,4:14,1.1,kWh,
Electric usage,2/9/2021,4:15,4:29,0.25,kWh,
Electric usage,2/9/2021,4:30,4:44,0.28,kWh,
Electric usage,2/9/2021,4:45,4:59,0.27,kWh,
Electric usage,2/9/2021,5:00,5:14,0.47,kWh,
Electric usage,2/9/2021,5:15,5:29,0.73,kWh,
Electric usage,2/9/2021,5:30,5:44,0.27,kWh,
Electric usage,2/9/2021,5:45,5:59,0.25,kWh,
Electric usage,2/9/2021,6:00,6:14,0.59,kWh,
Electric usage,2/9/2021,6:15,6:29,0.82,kWh,
Electric usage,2/9/2021,6:30,6:44,0.32,kWh,
Electric usage,2/9/2021,6:45,6:59,0.27,kWh,
Electric usage,2/9/2021,7:00,7:14,0.25,kWh,
Electric usage,2/9/2021,7:15,7:29,0.8,kWh,
Electric usage,2/9/2021,7:30,7:44,0.26,kWh,
Electric usage,2/9/2021,7:45,7:59,0.26,kWh,
Electric usage,2/9/2021,8:00,8:14,0.89,kWh,
Electric usage,2/9/2021,8:15,8:29,0.69,kWh,
Electric usage,2/9/2021,8:30,8:44,0.88,kWh,
Electric usage,2/9/2021,8:45,8:59,0.82,kWh,
Electric usage,2/9/2021,9:00,9:14,0.75,kWh,
Electric usage,2/9/2021,9:15,9:29,0.5,kWh,
Electric usage,2/9/2021,9:30,9:44,0.61,kWh,
Electric usage,2/9/2021,9:45,9:59,1.13,kWh,
Electric usage,2/9/2021,10:00,10:14,0.5,kWh,
Electric usage,2/9/2021,10:15,10:29,0.83,kWh,
Electric usage,2/9/2021,10:30,10:44,0.69,kWh,
Electric usage,2/9/2021,10:45,10:59,0.8,kWh,
Electric usage,2/9/2021,11:00,11:14,0.51,kWh,
Electric usage,2/9/2021,11:15,11:29,0.49,kWh,
Electric usage,2/9/2021,11:30,11:44,0.92,kWh,
Electric usage,2/9/2021,11:45,11:59,0.9,kWh,
Electric usage,2/9/2021,12:00,12:14,0.95,kWh,
Electric usage,2/9/2021,12:15,12:29,0.55,kWh,
Electric usage,2/9/2021,12:30,12:44,0.59,kWh,
Electric usage,2/9/2021,12:45,12:59,0.57,kWh,
Electric usage,2/9/2021,13:00,13:14,0.57,kWh,
Electric usage,2/9/2021,13:15,13:29,0.84,kWh,
Electric usage,2/9/2021,13:30,13:44,0.6,kWh,
Electric usage,2/9/2021,13:45,13:59,0.94,kWh,
Electric usage,2/9/2021,14:00,14:14,0.6,kWh,
Electric usage,2/9/2021,14:15,14:29,0.58,kWh,
Electric usage,2/9/2021,14:30,14:44,0.59,kWh,
Electric usage,2/9/2021,14:45,14:59,0.41,kWh,
Electric usage,2/9/2021,15:00,15:14,0.34,kWh,
Electric usage,2/9/2021,15:15,15:29,0.55,kWh,
Electric usage,2/9/2021,15:30,15:44,0.68,kWh,
Electric usage,2/9/2021,15:45,15:59,0.6,kWh,
Electric usage,2/9/2021,16:00,16:14,0.58,kWh,
Electric usage,2/9/2021,16:15,16:29,0.94,kWh,
Electric usage,2/9/2021,16:30,16:44,0.61,kWh,
Electric usage,2/9/2021,16:45,16:59,0.59,kWh,
Electric usage,2/9/2021,17:00,17:14,0.93,kWh,
Electric usage,2/9/2021,17:15,17:29,0.49,kWh,
Electric usage,2/9/2021,17:30,17:44,0.27,kWh,
Electric usage,2/9/2021,17:45,17:59,0.41,kWh,
Electric usage,2/9/2021,18:00,18:14,0.47,kWh,
Electric usage,2/9/2021,18:15,18:29,0.27,kWh,
Electric usage,2/9/2021,18:30,18:44,0.29,kWh,
Electric usage,2/9/2021,18:45,18:59,0.33,kWh,
Electric usage,2/9/2021,19:00,19:14,0.8,kWh,
Electric usage,2/9/2021,19:15,19:29,0.54,kWh,
Electric usage,2/9/2021,19:30,19:44,0.52,kWh,
Electric usage,2/9/2021,19:45,19:59,0.54,kWh,
Electric usage,2/9/2021,20:00,20:14,0.58,kWh,
Electric usage,2/9/2021,20:15,20:29,0.81,kWh,
Electric usage,2/9/2021,20:30,20:44,1.22,kWh,
Electric usage,2/9/2021,20:45,20:59,0.7,kWh,
Electric usage,2/9/2021,21:00,21:14,1.03,kWh,
Electric usage,2/9/2021,21:15,21:29,1.61,kWh,
Electric usage,2/9/2021,21:30,21:44,1.51,kWh,
Electric usage,2/9/2021,21:45,21:59,1.28,kWh,
Electric usage,2/9/2021,22:00,22:14,1.5,kWh,
Electric usage,2/9/2021,22:15,22:29,0.68,kWh,
Electric usage,2/9/2021,22:30,22:44,0.38,kWh,
Electric usage,2/9/2021,22:45,22:59,0.58,kWh,
Electric usage,2/9/2021,23:00,23:14,0.77,kWh,
Electric usage,2/9/2021,23:15,23:29,0.4,kWh,
Electric usage,2/9/2021,23:30,23:44,0.91,kWh,
Electric usage,2/9/2021,23:45,23:59,1.2,kWh,
Electric usage,2/10/2021,0:00,0:14,1.44,kWh,
Electric usage,2/10/2021,0:15,0:29,0.68,kWh,
Electric usage,2/10/2021,0:30,0:44,0.65,kWh,
Electric usage,2/10/2021,0:45,0:59,0.63,kWh,
Electric usage,2/10/2021,1:00,1:14,0.65,kWh,
Electric usage,2/10/2021,1:15,1:29,0.85,kWh,
Electric usage,2/10/2021,1:30,1:44,0.96,kWh,
Electric usage,2/10/2021,1:45,1:59,1.6,kWh,
Electric usage,2/10/2021,2:00,2:14,1.65,kWh,
Electric usage,2/10/2021,2:15,2:29,0.61,kWh,
Electric usage,2/10/2021,2:30,2:44,0.32,kWh,
Electric usage,2/10/2021,2:45,2:59,0.78,kWh,
Electric usage,2/10/2021,3:00,3:14,0.29,kWh,
Electric usage,2/10/2021,3:15,3:29,0.32,kWh,
Electric usage,2/10/2021,3:30,3:44,0.58,kWh,
Electric usage,2/10/2021,3:45,3:59,0.25,kWh,
Electric usage,2/10/2021,4:00,4:14,0.33,kWh,
Electric usage,2/10/2021,4:15,4:29,1.11,kWh,
Electric usage,2/10/2021,4:30,4:44,0.41,kWh,
Electric usage,2/10/2021,4:45,4:59,0.51,kWh,
Electric usage,2/10/2021,5:00,5:14,0.51,kWh,
Electric usage,2/10/2021,5:15,5:29,0.78,kWh,
Electric usage,2/10/2021,5:30,5:44,0.52,kWh,
Electric usage,2/10/2021,5:45,5:59,0.49,kWh,
Electric usage,2/10/2021,6:00,6:14,0.51,kWh,
Electric usage,2/10/2021,6:15,6:29,0.78,kWh,
Electric usage,2/10/2021,6:30,6:44,0.5,kWh,
Electric usage,2/10/2021,6:45,6:59,0.51,kWh,
Electric usage,2/10/2021,7:00,7:14,0.5,kWh,
Electric usage,2/10/2021,7:15,7:29,0.51,kWh,
Electric usage,2/10/2021,7:30,7:44,0.5,kWh,
Electric usage,2/10/2021,7:45,7:59,1.08,kWh,
Electric usage,2/10/2021,8:00,8:14,0.81,kWh,
Electric usage,2/10/2021,8:15,8:29,0.5,kWh,
Electric usage,2/10/2021,8:30,8:44,0.51,kWh,
Electric usage,2/10/2021,8:45,8:59,1.12,kWh,
Electric usage,2/10/2021,9:00,9:14,0.51,kWh,
Electric usage,2/10/2021,9:15,9:29,0.51,kWh,
Electric usage,2/10/2021,9:30,9:44,0.78,kWh,
Electric usage,2/10/2021,9:45,9:59,1.19,kWh,
Electric usage,2/10/2021,10:00,10:14,0.5,kWh,
Electric usage,2/10/2021,10:15,10:29,0.52,kWh,
Electric usage,2/10/2021,10:30,10:44,0.51,kWh,
Electric usage,2/10/2021,10:45,10:59,0.81,kWh,
Electric usage,2/10/2021,11:00,11:14,1.02,kWh,
Electric usage,2/10/2021,11:15,11:29,0.73,kWh,
Electric usage,2/10/2021,11:30,11:44,0.86,kWh,
Electric usage,2/10/2021,11:45,11:59,0.64,kWh,
Electric usage,2/10/2021,12:00,12:14,0.63,kWh,
Electric usage,2/10/2021,12:15,12:29,0.55,kWh,
Electric usage,2/10/2021,12:30,12:44,0.89,kWh,
Electric usage,2/10/2021,12:45,12:59,0.96,kWh,
Electric usage,2/10/2021,13:00,13:14,0.65,kWh,
Electric usage,2/10/2021,13:15,13:29,0.57,kWh,
Electric usage,2/10/2021,13:30,13:44,0.93,kWh,
Electric usage,2/10/2021,13:45,13:59,0.55,kWh,
Electric usage,2/10/2021,14:00,14:14,0.57,kWh,
Electric usage,2/10/2021,14:15,14:29,0.87,kWh,
Electric usage,2/10/2021,14:30,14:44,0.54,kWh,
Electric usage,2/10/2021,14:45,14:59,0.54,kWh,
Electric usage,2/10/2021,15:00,15:14,0.82,kWh,
Electric usage,2/10/2021,15:15,15:29,0.55,kWh,
Electric usage,2/10/2021,15:30,15:44,1.69,kWh,
Electric usage,2/10/2021,15:45,15:59,1.76,kWh,
Electric usage,2/10/2021,16:00,16:14,1.76,kWh,
Electric usage,2/10/2021,16:15,16:29,0.91,kWh,
Electric usage,2/10/2021,16:30,16:44,1.31,kWh,
Electric usage,2/10/2021,16:45,16:59,0.63,kWh,
Electric usage,2/10/2021,17:00,17:14,1.23,kWh,
Electric usage,2/10/2021,17:15,17:29,1.01,kWh,
Electric usage,2/10/2021,17:30,17:44,1.56,kWh,
Electric usage,2/10/2021,17:45,17:59,0.86,kWh,
Electric usage,2/10/2021,18:00,18:14,0.88,kWh,
Electric usage,2/10/2021,18:15,18:29,1.07,kWh,
Electric usage,2/10/2021,18:30,18:44,0.77,kWh,
Electric usage,2/10/2021,18:45,18:59,0.88,kWh,
Electric usage,2/10/2021,19:00,19:14,1.41,kWh,
Electric usage,2/10/2021,19:15,19:29,0.76,kWh,
Electric usage,2/10/2021,19:30,19:44,0.87,kWh,
Electric usage,2/10/2021,19:45,19:59,0.9,kWh,
Electric usage,2/10/2021,20:00,20:14,1.08,kWh,
Electric usage,2/10/2021,20:15,20:29,0.33,kWh,
Electric usage,2/10/2021,20:30,20:44,0.97,kWh,
Electric usage,2/10/2021,20:45,20:59,0.38,kWh,
Electric usage,2/10/2021,21:00,21:14,0.34,kWh,
Electric usage,2/10/2021,21:15,21:29,0.92,kWh,
Electric usage,2/10/2021,21:30,21:44,0.6,kWh,
Electric usage,2/10/2021,21:45,21:59,0.59,kWh,
Electric usage,2/10/2021,22:00,22:14,0.61,kWh,
Electric usage,2/10/2021,22:15,22:29,0.91,kWh,
Electric usage,2/10/2021,22:30,22:44,0.6,kWh,
Electric usage,2/10/2021,22:45,22:59,0.62,kWh,
Electric usage,2/10/2021,23:00,23:14,0.61,kWh,
Electric usage,2/10/2021,23:15,23:29,0.9,kWh,
Electric usage,2/10/2021,23:30,23:44,0.65,kWh,
Electric usage,2/10/2021,23:45,23:59,0.63,kWh,
